phase,step_order,agent_name,agent_id,workflow_command,workflow_name,required,output_artifact,in_howto,notes
Phase 4: Implementation,8,"Scrum Master (Bob)",bmad-sm,bmad-create-story (Validate Mode),Validate Story,Recommended,Story validation report,No,"From BMAD standard workflow Phase 4; pre-development story review / Three Amigos"
Phase 3-4: Testing,1,"Test Architect (Murat)",bmad-tea,/bmad:tea:teach-me-testing,Teach Me Testing (TEA Academy),No,TEA Academy learning materials,No,"Trigger: TMT; Codex: $bmad-tea-teach-me-testing; TEA enterprise module"
Phase 3-4: Testing,2,"Test Architect (Murat)",bmad-tea,/bmad:tea:framework,Scaffold Test Framework,No,"Test framework config (frontend, backend, or fullstack)",No,"Trigger: TF; Codex: $bmad-tea-testarch-framework; TEA enterprise module"
Phase 3-4: Testing,3,"Test Architect (Murat)",bmad-tea,/bmad:tea:ci,Set Up CI/CD Quality Pipeline,No,CI/CD pipeline config (multi-platform),No,"Trigger: CI; Codex: $bmad-tea-testarch-ci; TEA enterprise module"
Phase 3-4: Testing,4,"Test Architect (Murat)",bmad-tea,/bmad:tea:test-design,Test Design,No,System-level or epic-level test design,No,"Trigger: TD; Codex: $bmad-tea-testarch-test-design; TEA enterprise module"
Phase 3-4: Testing,5,"Test Architect (Murat)",bmad-tea,/bmad:tea:atdd,ATDD (Acceptance Test-Driven Dev),No,Failing acceptance tests + checklist,No,"Trigger: AT; Codex: $bmad-tea-testarch-atdd; TEA enterprise module"
Phase 3-4: Testing,6,"Test Architect (Murat)",bmad-tea,/bmad:tea:automate,Expand Test Automation,No,Expanded test automation coverage,No,"Trigger: TA; Codex: $bmad-tea-testarch-automate; TEA enterprise module"
Phase 3-4: Testing,7,"Test Architect (Murat)",bmad-tea,/bmad:tea:test-review,Test Review,No,Test quality score + review report,No,"Trigger: RV; Codex: $bmad-tea-testarch-test-review; TEA enterprise module"
Phase 3-4: Testing,8,"Test Architect (Murat)",bmad-tea,/bmad:tea:trace,Traceability + Gate Decision,No,Requirements-to-tests traceability matrix + gate decision,No,"Trigger: TR; Codex: $bmad-tea-testarch-trace; TEA enterprise module; release gate"
Phase 3-4: Testing,9,"Test Architect (Murat)",bmad-tea,/bmad:tea:nfr-assess,NFR Assessment,No,Non-functional requirements assessment report,No,"Trigger: NR; Codex: $bmad-tea-testarch-nfr; TEA enterprise module"
CIS: Creative,1,Brainstorming Coach,cis-brainstorm,/cis-brainstorm,Brainstorm Ideas (CIS),No,Ideation session with structured techniques (SCAMPER etc.),No,CIS module; install via npx bmad-method@alpha install; select Creative Intelligence Suite
CIS: Creative,2,Design Thinking Coach,cis-design-thinking,/cis-design-thinking,Design Thinking,No,Human-centered design through empathy + ideation + prototyping,No,CIS module; for user-centered design work
CIS: Creative,3,Problem Solver,cis-problem-solve,/cis-problem-solve,Systematic Problem Analysis,No,Problem diagnosis + root cause analysis,No,CIS module; for when stuck on a problem
CIS: Creative,4,Innovation Strategist,cis-innovation,/cis-innovation,Innovation & Disruption Analysis,No,Disruption opportunities + business model innovation,No,CIS module; for finding market gaps
CIS: Creative,5,Storyteller,cis-storytelling,/cis-storytelling,Product Storytelling,No,Compelling narratives for products and features,No,CIS module; for product story crafting
CIS: Creative,6,Presentation Master,cis-presentation,/cis-presentation,Presentation Design,No,Structured persuasive presentation,No,CIS module; for pitch preparation
CIS: Creative,7,Creative Problem Solver,cis-creative-problem-solver,N/A (agent only),Creative Problem Solving,No,Creative solutions using lateral thinking,No,"CIS module; listed as agent, no dedicated slash command documented; may be invoked via agent menu"
